prompt_id,technique,prompt,generated_response
P18,Few-Shot,"Example 1: Saving keeps money safe for future needs. Investing puts money into assets that may grow in value.
Example 2: Saving is useful for short-term goals. Investing is generally used for longer-term growth.
Now explain the difference between saving and investing for a beginner.","The key is to realize that investing in a short-term topic is not a long-term solution. The focus on short-term goals is to understand the value of the subject matter and not only what you can accomplish with it.
Figure 3: Saving is useful for short-term goals"
P19,Few-Shot,"Example 1: Customer received a damaged phone. Response: Apologize, ask for order details and photos, and explain the replacement process.
Example 2: Customer received a damaged book. Response: Apologize, ask for order details and photos, and explain the return or replacement process.
Now write a polite response to a customer who received a damaged product.","Example 3: Customer received a damaged book. Response: Apologize, ask for order details and photos, and explain the replacement process.
Example 4: Customer received a damaged book. Response: Apologize, ask for order details and photos, and explain the replacement process.
Example"
P20,Few-Shot,"Example 1: A Python function is reusable code that performs a specific task.
Example 2: A function can accept inputs and return an output.
Now explain what a Python function is to a beginner with a simple example.","This tutorial will show how to take advantage of the Ruby library library.
Ruby has the ability to implement the Ruby library as a library and for the purpose to use it to solve problems like:
import { 'input' : 'input' } from '../input' import 'input'"
P21,Role Prompting,You are a Teacher. Explain the difference between mean and median to a beginner with a simple example.,"In a teacher's experience, it is difficult to distinguish between the mean and median. Many teachers teach a simple example. These examples are not the only examples, as the teacher can clearly distinguish between two different classes.
But this is not the only example, as the teacher can clearly distinguish"
P22,Role Prompting,You are a Doctor. Give general advice on maintaining a healthy daily routine for a student.,"You must be a Doctor. Give general advice on maintaining a healthy daily routine for a student.

You must be a Doctor. Give general advice on maintaining a healthy daily routine for a student.
You must be a Doctor. Give general advice on maintaining a healthy daily"
P23,Role Prompting,You are a Finance Advisor. Explain the difference between saving and investing for a beginner.,
P24,Role Prompting,You are a Customer Support Manager. Write a polite response to a customer who received a damaged product and explain the next steps.,"If these steps are not followed, you may be unable to contact customer support at your local local stores or the local retailers."
P25,Role Prompting,You are an AI Engineer. Explain what a Python function is to a beginner with a simple example.,"You can easily figure out a way to build a simple Python function in Python.
The Python function is much simpler than the Python function. You will need to create a standard Python function to do it.
Python is a Python interpreter and you will need to start with a basic"
P26,Chain-of-Thought,"A student has 12 notebooks. They buy 5 more notebooks and give 3 notebooks to a friend.
How many notebooks do they have now?
Explain the steps.","Take a few minutes to read the notes that you have.
Take a couple minutes to read the notes that you have.
Take a couple minutes to read the notes that you have.
Take a couple minutes to read the notes that you have.
Take a few minutes to read the"
P27,Chain-of-Thought,"A shop has 50 pens. It sells 18 pens in the morning and 12 pens in the evening.
How many pens are left?
Explain the steps.","Find all of the pens in one place on the shop's website.
Find all of the pens in one place on the shop's website.
Find all of the pens in one place on the shop's website.
Find all of the pens in one place on the shop's website."
P28,Chain-of-Thought,"A student studies for 2 hours on Monday, 3 hours on Tuesday, and 4 hours on Wednesday.
How many hours did the student study in total?
Explain the steps.",How many hours did the student study in total?
